2025-08-27 06:31:06,523 INFO    MainThread:2872428 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_setup.py:_flush():80] Configure stats pid to 2872428
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_setup.py:_flush():80] Loading settings from /homes/dkreinov/.config/wandb/settings
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_setup.py:_flush():80] Loading settings from /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/settings
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_063106-3cpfh6kk/logs/debug.log
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_063106-3cpfh6kk/logs/debug-internal.log
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_init.py:init():830] calling init triggers
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_init.py:init():835] wandb.init called with sweep_config: {'learning_rate': 0.0006831320607231475, 'warmup_epochs': 5, 'weight_decay': 0.11193696183742124}
config: {'_wandb': {}}
2025-08-27 06:31:06,524 INFO    MainThread:2872428 [wandb_init.py:init():871] starting backend
2025-08-27 06:31:06,735 INFO    MainThread:2872428 [wandb_init.py:init():874] sending inform_init request
2025-08-27 06:31:06,740 INFO    MainThread:2872428 [wandb_init.py:init():882] backend started and connected
2025-08-27 06:31:06,740 INFO    MainThread:2872428 [wandb_run.py:_config_callback():1380] config_cb None None {'learning_rate': 0.0006831320607231475, 'warmup_epochs': 5, 'weight_decay': 0.11193696183742124}
2025-08-27 06:31:06,741 INFO    MainThread:2872428 [wandb_init.py:init():953] updated telemetry
2025-08-27 06:31:06,754 INFO    MainThread:2872428 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-27 06:31:07,295 INFO    MainThread:2872428 [wandb_init.py:init():1029] starting run threads in backend
2025-08-27 06:31:07,602 INFO    MainThread:2872428 [wandb_run.py:_console_start():2494] atexit reg
2025-08-27 06:31:07,603 INFO    MainThread:2872428 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-27 06:31:07,603 INFO    MainThread:2872428 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-27 06:31:07,603 INFO    MainThread:2872428 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-27 06:31:07,606 INFO    MainThread:2872428 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-27 06:36:44,930 INFO    MsgRouterThr:2872428 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
