2025-08-27 07:06:42,769 INFO    MainThread:3027863 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_setup.py:_flush():80] Configure stats pid to 3027863
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_setup.py:_flush():80] Loading settings from /homes/dkreinov/.config/wandb/settings
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_setup.py:_flush():80] Loading settings from /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/settings
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_070642-153q3ahl/logs/debug.log
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_070642-153q3ahl/logs/debug-internal.log
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_init.py:init():830] calling init triggers
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_init.py:init():835] wandb.init called with sweep_config: {'learning_rate': 0.0003181156238094906, 'warmup_epochs': 3, 'weight_decay': 0.0512599398004834}
config: {'_wandb': {}}
2025-08-27 07:06:42,770 INFO    MainThread:3027863 [wandb_init.py:init():871] starting backend
2025-08-27 07:06:42,981 INFO    MainThread:3027863 [wandb_init.py:init():874] sending inform_init request
2025-08-27 07:06:42,986 INFO    MainThread:3027863 [wandb_init.py:init():882] backend started and connected
2025-08-27 07:06:42,987 INFO    MainThread:3027863 [wandb_run.py:_config_callback():1380] config_cb None None {'learning_rate': 0.0003181156238094906, 'warmup_epochs': 3, 'weight_decay': 0.0512599398004834}
2025-08-27 07:06:42,988 INFO    MainThread:3027863 [wandb_init.py:init():953] updated telemetry
2025-08-27 07:06:43,000 INFO    MainThread:3027863 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-27 07:06:43,523 INFO    MainThread:3027863 [wandb_init.py:init():1029] starting run threads in backend
2025-08-27 07:06:43,832 INFO    MainThread:3027863 [wandb_run.py:_console_start():2494] atexit reg
2025-08-27 07:06:43,832 INFO    MainThread:3027863 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-27 07:06:43,832 INFO    MainThread:3027863 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-27 07:06:43,832 INFO    MainThread:3027863 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-27 07:06:43,835 INFO    MainThread:3027863 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-27 07:12:23,069 INFO    MsgRouterThr:3027863 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
