2025-08-27 10:26:51,642 INFO    MainThread:3905420 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_setup.py:_flush():80] Configure stats pid to 3905420
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_setup.py:_flush():80] Loading settings from /homes/dkreinov/.config/wandb/settings
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_setup.py:_flush():80] Loading settings from /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/settings
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_102651-rff1w979/logs/debug.log
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250827_102651-rff1w979/logs/debug-internal.log
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_init.py:init():830] calling init triggers
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_init.py:init():835] wandb.init called with sweep_config: {'batch_size': 1280, 'label_smoothing': 0.1916032408039224, 'learning_rate': 0.0003, 'warmup_epochs': 7, 'weight_decay': 0.17836474614403688}
config: {'_wandb': {}}
2025-08-27 10:26:51,643 INFO    MainThread:3905420 [wandb_init.py:init():871] starting backend
2025-08-27 10:26:51,854 INFO    MainThread:3905420 [wandb_init.py:init():874] sending inform_init request
2025-08-27 10:26:51,859 INFO    MainThread:3905420 [wandb_init.py:init():882] backend started and connected
2025-08-27 10:26:51,860 INFO    MainThread:3905420 [wandb_run.py:_config_callback():1380] config_cb None None {'batch_size': 1280, 'label_smoothing': 0.1916032408039224, 'learning_rate': 0.0003, 'warmup_epochs': 7, 'weight_decay': 0.17836474614403688}
2025-08-27 10:26:51,861 INFO    MainThread:3905420 [wandb_init.py:init():953] updated telemetry
2025-08-27 10:26:51,873 INFO    MainThread:3905420 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-27 10:26:52,414 INFO    MainThread:3905420 [wandb_init.py:init():1029] starting run threads in backend
2025-08-27 10:26:52,720 INFO    MainThread:3905420 [wandb_run.py:_console_start():2494] atexit reg
2025-08-27 10:26:52,720 INFO    MainThread:3905420 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-27 10:26:52,720 INFO    MainThread:3905420 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-27 10:26:52,720 INFO    MainThread:3905420 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-27 10:26:52,723 INFO    MainThread:3905420 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-27 10:34:45,051 INFO    MsgRouterThr:3905420 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
